ticker,strategy,score,stage,themes,priority,regime,dev_bb_pct,trend_strength,momentum
코오롱,Early Breakout (Transition),85,Early Breakout,[],HIGH,Transition,10.4,0.04,0.9546925566343042
대모,Early Breakout (Transition),85,Early Breakout,[],HIGH,Transition,15.23,-0.0799999999999999,0.9231707317073172
아주IB투자,Super Trend (Bull Quiet),79,Super Trend,[],HIGH,Bull Quiet,49.3,0.5199999999999998,0.9153094462540716
미래에셋벤처투자,Super Trend (Bull Quiet),78,Super Trend,[],HIGH,Bull Quiet,52.81,0.3399999999999998,0.8899188876013905
스피어,Super Trend (Bull Quiet),78,Super Trend,[],HIGH,Bull Quiet,52.66,0.4599999999999999,0.9450966850828728
유신,Early Breakout (Transition),78,Early Breakout,[],HIGH,Transition,3.11,-0.0799999999999999,0.9444444444444444
켄코아에어로스페이스,Super Trend (Bull Quiet),77,Super Trend,[],HIGH,Bull Quiet,37.23,0.4599999999999999,0.8908474576271186
미래에셋증권,Super Trend (Bull Quiet),77,Super Trend,[],HIGH,Bull Quiet,50.24,0.4599999999999999,0.9037593984962408
나노팀,Super Trend (Bull Quiet),77,Super Trend,[],HIGH,Bull Quiet,43.98,0.3999999999999999,0.9034564958283672
GS리테일,Early Breakout (Transition),76,Early Breakout,[],HIGH,Transition,1.88,-0.0799999999999999,0.8882978723404256
대한전선,Super Trend (Bull Quiet),73,Super Trend,[],HIGH,Bull Quiet,10.55,0.5199999999999998,0.8286604361370716
SK,Super Trend (Bull Quiet),73,Super Trend,[],HIGH,Bull Quiet,3.01,0.4599999999999999,0.8041825095057035
한화시스템,Super Trend (Bull Quiet),72,Super Trend,[],HIGH,Bull Quiet,46.94,0.3999999999999999,0.8899821109123435
하나금융지주,Super Trend (Bull Quiet),71,Super Trend,[],HIGH,Bull Quiet,1.47,0.6399999999999999,0.8800738007380073
AJ네트웍스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,10.05,0.4599999999999999,0.9427312775330396
에코프로에이치엔,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,22.99,0.5199999999999998,0.8862847222222222
에쓰씨엔지니어링,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,27.03,0.6399999999999999,0.8745689655172414
미래에셋증권우,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,35.14,0.4599999999999999,0.8711297071129707
아이쓰리시스템,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.01,0.3999999999999999,0.8561236623067776
아이티센글로벌,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,32.74,0.5799999999999998,0.8625654450261779
에이치이엠파마,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,56.12,0.5799999999999998,0.9394785847299814
에이프릴바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,15.88,0.4599999999999999,0.9065656565656566
에이플러스에셋,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,25.15,0.6399999999999999,0.9044117647058824
주성엔지니어링,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,15.49,0.3999999999999999,0.9215116279069768
코오롱생명과학,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,26.73,0.6399999999999999,0.935251798561151
하나머티리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,17.72,0.5799999999999998,0.8329048843187661
바이오스마트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,42.58,0.4599999999999999,0.9085072231139648
에스제이그룹,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,44.95,0.5199999999999998,0.8817829457364341
에스에이엠티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,13.46,0.4599999999999999,0.888
엘앤씨바이오,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,18.48,0.4599999999999999,0.9259634888438134
영우디에스피,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,14.74,0.3399999999999998,0.8898809523809524
와이투솔루션,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,22.35,0.5199999999999998,0.8813694267515924
육일씨엔에쓰,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,36.68,0.4599999999999999,0.8455497382198953
이오테크닉스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,16.74,0.4599999999999999,0.867816091954023
전진건설로봇,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,15.27,0.3399999999999998,0.8958677685950414
인텔리안테크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,46.63,0.4599999999999999,0.9125636672325976
제이에스링크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.1,0.4599999999999999,0.8722079037800687
지엠비코리아,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,15.87,0.5799999999999998,0.896186440677966
코오롱티슈진,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,24.57,0.6399999999999999,0.9282655246252676
하나마이크론,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,12.97,0.3999999999999999,0.8663793103448276
나래나노텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,22.99,0.3999999999999999,0.9079903147699756
다우데이타,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,17.5,0.3999999999999999,0.8836605080831409
동진쎄미켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,20.18,0.4599999999999999,0.8865313653136531
두산테스나,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,10.61,0.4599999999999999,0.875
메디포스트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,25.54,0.4599999999999999,0.93717277486911
삼양엔씨켐,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,18.25,0.6399999999999999,0.8340336134453781
삼표시멘트,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,140.5,0.4599999999999999,0.957231040564374
시지메드텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,20.09,0.5199999999999998,0.8627450980392157
씨아이에스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,29.9,0.5799999999999998,0.9018264840182648
쎄트렉아이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,80.11,0.5799999999999998,0.9242779078844652
에스엠코어,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,28.71,0.5199999999999998,0.8623388581952118
에스티아이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.6,0.3999999999999999,0.8390625
오킨스전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,19.37,0.4599999999999999,0.8714285714285714
원바이오젠,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,10.54,0.3999999999999999,0.8918918918918919
제주반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,38.25,0.4599999999999999,0.8757763975155279
코오롱인더,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,13.61,0.4599999999999999,0.876940133037694
피에스케이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,31.82,0.4599999999999999,0.8698910081743869
한미반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,15.87,0.4599999999999999,0.808487486398259
한양이엔지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,24.45,0.4599999999999999,0.855072463768116
한양디지텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.13,0.3999999999999999,0.8282312925170068
대덕전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,14.01,0.5799999999999998,0.8945371775417299
뉴프렉스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,12.34,0.4599999999999999,0.883587786259542
대성산업,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,12.49,-0.1399999999999999,0.8268398268398268
대주산업,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,51.04,0.5199999999999998,0.8841463414634146
동아엘텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,37.45,0.4599999999999999,0.9716981132075472
디아이티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,19.21,0.4599999999999999,0.8767833981841764
라온테크,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,50.64,0.3399999999999998,0.8745476477683957
롯데쇼핑,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,10.74,0.5799999999999998,0.915686274509804
리노공업,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,29.02,0.7,0.8893728222996515
메디아나,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,96.16,0.5799999999999998,0.9239798770262716
삼성전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,18.84,0.4599999999999999,0.8637123745819398
삼지전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,29.3,0.5799999999999998,0.8732057416267942
성호전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,76.23,0.4599999999999999,0.8542986425339367
에스티팜,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,19.11,0.5199999999999998,0.8697135061391542
에스피지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,58.72,0.5199999999999998,0.889967637540453
에이엘티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,15.37,0.3399999999999998,0.8987566607460036
에코프로,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,40.97,0.5199999999999998,0.929657794676806
웨이비스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,25.09,0.6399999999999999,0.9207650273224044
자화전자,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,26.84,0.3399999999999998,0.9590747330960854
조이시티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,20.34,0.4599999999999999,0.8685897435897436
키움증권,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,22.82,0.5799999999999998,0.8949671772428884
하림지주,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,22.64,0.4599999999999999,0.906055900621118
네오셈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,43.12,0.3399999999999998,0.9122734761120264
넥스틴,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.9,0.5799999999999998,0.8286004056795131
노바텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,18.8,0.4599999999999999,0.8674033149171271
더코디,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,37.71,0.4599999999999999,0.9303921568627452
드림텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.5,0.5199999999999998,0.8662420382165605
디아이,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,13.17,0.4599999999999999,0.7746113989637305
루미르,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,60.82,0.5799999999999998,0.925179211469534
베뉴지,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,25.49,0.6399999999999999,0.8227360308285163
비나텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,28.64,0.3399999999999998,0.8596802841918294
센서뷰,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,53.76,0.5799999999999998,0.5465608465608466
신세계,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,16.59,0.6399999999999999,0.8452380952380951
아이텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,20.79,0.5799999999999998,0.8764367816091954
액트로,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,60.62,0.5799999999999998,0.8134978229317852
앱클론,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,24.45,0.3399999999999998,0.8364705882352941
엘티씨,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,12.11,0.5799999999999998,0.8304794520547945
와이씨,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,19.92,0.28,0.8547957371225577
제노코,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,21.61,0.3399999999999998,0.3728448275862068
제테마,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,19.97,0.5199999999999998,0.8562259306803595
제우스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,15.57,0.4599999999999999,0.8759025270758123
제이티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,13.95,0.3999999999999999,0.9004329004329004
큐라클,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,46.43,0.5799999999999998,0.8544007490636705
프로텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,33.8,0.3399999999999998,0.9466666666666668
피엔티,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,12.18,0.4599999999999999,0.915506958250497
경방,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,14.44,0.5199999999999998,0.913235294117647
두올,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,13.8,0.5199999999999998,0.8581267217630854
율촌,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,28.2,0.3999999999999999,0.88339222614841
웹스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.86,0.3399999999999998,0.5309541697971449
태성,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,40.13,0.5799999999999998,0.9813895781637716
테스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,21.99,0.3999999999999999,0.870757180156658
HDC현대EP,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,12.63,0.4599999999999999,0.8709150326797386
HD현대건설기계,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,13.33,0.28,0.8071847507331378
HPSP,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,21.0,0.5799999999999998,0.8711832061068703
ISC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,25.37,0.3399999999999998,0.8689809630459127
JW중외제약,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,16.61,0.5199999999999998,0.8540268456375839
KX하이텍,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,26.13,0.5799999999999998,0.9402985074626866
NHN벅스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,34.51,0.7,0.8089887640449438
NHN KCP,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.54,0.3999999999999999,0.8806509945750453
RF시스템즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,42.91,0.4599999999999999,0.9197002141327624
RF머트리얼즈,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,35.44,0.5799999999999998,0.905952380952381
원익QnC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,10.25,0.4599999999999999,0.8560311284046693
RFHIC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,21.09,0.4599999999999999,0.8904255319148936
SFA반도체,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,34.98,0.4599999999999999,0.8647186147186148
SK스퀘어,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,25.27,0.3999999999999999,0.8413223140495868
SK하이닉스,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,18.27,0.6399999999999999,0.8452655889145497
백금T&A,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,11.74,0.5199999999999998,0.7210031347962382
서부T&D,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,22.83,0.6399999999999999,0.9524207011686144
TPC,Super Trend (Bull Quiet),70,Super Trend,[],HIGH,Bull Quiet,31.32,0.28,0.81875
포스코인터내셔널,Super Trend (Bull Quiet),69,Super Trend,[],HIGH,Bull Quiet,9.43,0.5199999999999998,0.8858695652173914
와토스코리아,Super Trend (Bull Quiet),69,Super Trend,[],HIGH,Bull Quiet,9.46,0.5199999999999998,0.3320000000000001
이지바이오,Super Trend (Bull Quiet),69,Super Trend,[],HIGH,Bull Quiet,9.14,0.7,0.8900862068965517
대우건설,Super Trend (Bull Quiet),69,Super Trend,[],HIGH,Bull Quiet,9.8,0.4599999999999999,0.8454692556634305
클래시스,Super Trend (Bull Quiet),69,Super Trend,[],HIGH,Bull Quiet,9.97,0.5799999999999998,0.8937282229965157
뷰웍스,Super Trend (Bull Quiet),69,Super Trend,[],HIGH,Bull Quiet,9.75,0.4599999999999999,0.84376427592508
LS ELECTRIC,Super Trend (Bull Quiet),69,Super Trend,[],HIGH,Bull Quiet,9.54,0.3999999999999999,0.811864406779661
한국금융지주,Super Trend (Bull Quiet),68,Super Trend,[],HIGH,Bull Quiet,4.11,0.5799999999999998,0.8648648648648648
세아홀딩스,Super Trend (Bull Quiet),68,Super Trend,[],HIGH,Bull Quiet,8.07,0.3399999999999998,0.818242343541944
진성티이씨,Super Trend (Bull Quiet),68,Super Trend,[],HIGH,Bull Quiet,8.61,0.28,0.8428835489833642
하이즈항공,Super Trend (Bull Quiet),68,Super Trend,[],HIGH,Bull Quiet,8.02,0.4599999999999999,0.8862815884476535
삼성물산,Super Trend (Bull Quiet),68,Super Trend,[],HIGH,Bull Quiet,8.74,0.5799999999999998,0.3529411764705883
다산네트웍스,Super Trend (Bull Quiet),67,Super Trend,[],HIGH,Bull Quiet,7.04,0.3999999999999999,0.8524590163934426
성도이엔지,Super Trend (Bull Quiet),67,Super Trend,[],HIGH,Bull Quiet,7.99,0.5199999999999998,0.8551020408163266
유진기업,Super Trend (Bull Quiet),67,Super Trend,[],HIGH,Bull Quiet,7.11,0.6399999999999999,0.912280701754386
케이씨,Super Trend (Bull Quiet),67,Super Trend,[],HIGH,Bull Quiet,7.03,0.4599999999999999,0.8561643835616438
코메론,Super Trend (Bull Quiet),67,Super Trend,[],HIGH,Bull Quiet,7.34,0.5799999999999998,0.8835078534031413
비에이치아이,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.07,0.6399999999999999,0.8604060913705583
와이즈버즈,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.15,0.4599999999999999,0.913554633471646
디바이스,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.1,0.4599999999999999,0.9569377990430622
우리로,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.96,0.3999999999999999,0.8542345276872964
DB증권,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.28,0.3999999999999999,0.876391982182628
나우IB,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.68,0.3999999999999999,0.9016666666666666
INVENI,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.6,0.3399999999999998,0.8875598086124402
삼성SDI,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.49,0.5199999999999998,0.8580097087378641
SK증권우,Super Trend (Bull Quiet),66,Super Trend,[],HIGH,Bull Quiet,6.57,0.28,0.8141592920353983
하이비젼시스템,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.3,0.3399999999999998,0.8403614457831325
신성델타테크,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.32,0.5199999999999998,0.8678571428571429
흥국에프엔비,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.22,0.3399999999999998,0.9406451612903226
유안타증권,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,1.73,0.6399999999999999,0.8475073313782991
해성디에스,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.25,0.5799999999999998,0.84593837535014
삼성제약,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.34,0.3999999999999999,0.9132911392405064
슈프리마,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.91,0.28,0.8143382352941176
아이앤씨,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.83,0.3999999999999999,0.8503787878787878
케이씨텍,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.32,0.3399999999999998,0.8461538461538461
한화리츠,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.35,0.3999999999999999,0.9294871794871796
예스티,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.02,0.3399999999999998,0.9009962640099628
TYM,Super Trend (Bull Quiet),65,Super Trend,[],HIGH,Bull Quiet,5.44,0.5799999999999998,0.8740458015267175
큐리옥스바이오시스템즈,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.86,0.4599999999999999,0.4043956043956044
다올투자증권,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,0.56,0.5199999999999998,0.861328125
신흥에스이씨,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.21,0.5199999999999998,0.8491525423728814
엠디바이스,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.06,0.4599999999999999,0.9213793103448276
이지홀딩스,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.02,0.5799999999999998,0.8459715639810427
교보증권,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.26,0.4599999999999999,0.875
한세실업,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.13,0.5199999999999998,0.7959183673469388
한컴위드,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,5.0,0.3399999999999998,0.8324715615305067
화신정공,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.93,0.3399999999999998,0.8206106870229007
라온텍,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.14,0.5799999999999998,0.9087779690189328
머큐리,Super Trend (Bull Quiet),64,Super Trend,[],HIGH,Bull Quiet,4.04,0.5799999999999998,0.9333333333333332
씨앤지하이테크,Super Trend (Bull Quiet),63,Super Trend,[],HIGH,Bull Quiet,3.73,0.28,0.8220779220779221
한올바이오파마,Super Trend (Bull Quiet),63,Super Trend,[],HIGH,Bull Quiet,3.41,0.3999999999999999,0.8109756097560976
헥토이노베이션,Super Trend (Bull Quiet),63,Super Trend,[],HIGH,Bull Quiet,3.63,0.3399999999999998,0.8423005565862709
