Theme,Total_Stocks,Large_Cap_Bull_%,Rest_Bull_%,Leadership_Gap,Large_Cap_Trend,Rest_Trend,Trend_Gap,Large_Cap_Momentum,Rest_Momentum,Momentum_Gap,Large_Cap_Total_Cap,Theme_Total_Cap
원격진료/비대면진료(U-Healthcare),17,100.0%,0.0%,100.0%,0.260,-0.921,1.181,0.369,-0.081,0.450,0.0T,0.0T
농업,22,100.0%,5.3%,94.7%,0.300,-0.622,0.922,0.628,0.408,0.220,0.0T,0.0T
우크라이나 재건,31,100.0%,10.7%,89.3%,0.340,-0.481,0.821,0.863,0.534,0.329,0.0T,0.0T
줄기세포,17,100.0%,14.3%,85.7%,0.400,-0.449,0.849,0.675,-0.006,0.680,0.0T,0.0T
환율하락 수혜,22,100.0%,15.8%,84.2%,0.480,-0.532,1.012,0.687,0.172,0.515,0.0T,0.0T
건설기계,15,100.0%,16.7%,83.3%,0.360,-0.422,0.782,0.874,0.543,0.330,0.0T,0.0T
휴대폰부품,43,100.0%,20.0%,80.0%,0.400,-0.391,0.790,0.393,0.058,0.335,0.0T,0.0T
셰일가스(Shale Gas),12,100.0%,22.2%,77.8%,0.480,-0.453,0.933,0.877,0.365,0.512,0.0T,0.0T
5G(5세대 이동통신),47,100.0%,27.3%,72.7%,0.440,-0.303,0.743,0.650,0.242,0.408,0.0T,0.0T
남북경협,25,100.0%,27.3%,72.7%,0.400,-0.408,0.808,0.822,0.625,0.198,0.0T,0.0T
갤럭시 부품주,35,100.0%,28.1%,71.9%,0.520,-0.334,0.854,0.494,0.042,0.452,0.0T,0.0T
은행,9,66.7%,0.0%,66.7%,0.167,-0.740,0.907,0.455,0.150,0.305,0.0T,0.0T
냉각시스템(액침냉각 등),6,66.7%,0.0%,66.7%,0.287,-0.213,0.500,0.293,-0.196,0.490,0.0T,0.0T
콜드체인(저온 유통),11,66.7%,0.0%,66.7%,0.073,-0.762,0.836,0.270,0.238,0.031,0.0T,0.0T
태양광에너지,42,100.0%,33.3%,66.7%,0.440,-0.240,0.680,0.855,0.343,0.513,0.0T,0.0T
2차전지,122,100.0%,36.1%,63.9%,0.460,-0.106,0.566,0.747,0.564,0.183,0.0T,0.0T
GTX(수도권 광역급행철도),25,66.7%,4.5%,62.1%,0.220,-0.593,0.813,0.573,0.371,0.202,0.0T,0.0T
2차전지(소재/부품),68,100.0%,40.0%,60.0%,0.460,-0.104,0.564,0.747,0.657,0.090,0.0T,0.0T
바이오인식(생체인식),15,66.7%,8.3%,58.3%,-0.067,-0.488,0.422,0.362,-0.161,0.523,0.0T,0.0T
원자력발전,48,100.0%,44.4%,55.6%,0.520,-0.156,0.676,0.889,0.459,0.430,0.0T,0.0T
LNG(액화천연가스),23,100.0%,45.0%,55.0%,0.540,-0.202,0.742,0.869,0.497,0.372,0.0T,0.0T
제약업체,86,66.7%,12.0%,54.6%,0.213,-0.622,0.836,0.587,0.008,0.578,0.0T,0.0T
LED,35,66.7%,12.5%,54.2%,0.087,-0.472,0.559,0.808,0.092,0.715,0.0T,0.0T
사료,19,66.7%,12.5%,54.2%,-0.107,-0.657,0.551,0.542,0.149,0.393,0.0T,0.0T
AI 챗봇(챗GPT 등),23,66.7%,15.0%,51.7%,-0.027,-0.535,0.508,0.263,-0.118,0.381,0.0T,0.0T
네옴시티,22,66.7%,15.8%,50.9%,0.200,-0.524,0.724,0.850,0.394,0.456,0.0T,0.0T
DMZ 평화공원,18,66.7%,20.0%,46.7%,0.007,-0.539,0.545,0.720,0.180,0.540,0.0T,0.0T
엠폭스(원숭이두창),18,66.7%,20.0%,46.7%,0.007,-0.708,0.715,0.718,-0.074,0.792,0.0T,0.0T
조선기자재,33,100.0%,53.3%,46.7%,0.360,-0.139,0.499,0.840,0.522,0.318,0.0T,0.0T
폴더블폰,21,66.7%,22.2%,44.4%,0.307,-0.439,0.746,0.539,0.110,0.429,0.0T,0.0T
자원개발,12,66.7%,22.2%,44.4%,0.180,-0.424,0.604,0.881,0.201,0.679,0.0T,0.0T
스마트폰,58,66.7%,23.6%,43.0%,0.307,-0.405,0.711,0.541,-0.036,0.577,0.0T,0.0T
지주사,131,66.7%,24.2%,42.4%,0.207,-0.474,0.681,0.585,0.287,0.298,0.0T,0.0T
사물인터넷,27,66.7%,25.0%,41.7%,0.007,-0.526,0.532,0.347,-0.032,0.379,0.0T,0.0T
전기차,86,66.7%,26.5%,40.2%,0.320,-0.301,0.621,0.808,0.506,0.302,0.0T,0.0T
4차산업 수혜주,33,66.7%,26.7%,40.0%,0.260,-0.345,0.605,0.478,0.076,0.402,0.0T,0.0T
방위산업/전쟁 및 테러,47,66.7%,27.3%,39.4%,0.347,-0.384,0.730,0.599,0.187,0.412,0.0T,0.0T
블록체인,17,33.3%,0.0%,33.3%,-0.320,-0.696,0.376,0.277,-0.219,0.496,0.0T,0.0T
건설 대표주,7,33.3%,0.0%,33.3%,-0.020,-0.545,0.525,0.812,0.473,0.339,0.0T,0.0T
웹툰,12,33.3%,0.0%,33.3%,-0.433,-1.000,0.567,0.134,-0.283,0.417,0.0T,0.0T
마켓컬리(kurly),11,33.3%,0.0%,33.3%,-0.120,-0.932,0.812,-0.208,-0.185,-0.023,0.0T,0.0T
OLED(유기 발광 다이오드),70,66.7%,34.3%,32.3%,0.347,-0.185,0.531,0.265,0.186,0.079,0.0T,0.0T
지능형로봇/인공지능(AI),45,66.7%,38.1%,28.6%,0.267,-0.360,0.627,0.207,0.141,0.065,0.0T,0.0T
재택근무/스마트워크,15,33.3%,8.3%,25.0%,-0.553,-0.645,0.092,-0.110,-0.081,-0.029,0.0T,0.0T
가상현실(VR),24,33.3%,9.5%,23.8%,-0.553,-0.649,0.095,0.059,0.046,0.013,0.0T,0.0T
스마트팩토리(스마트공장),30,66.7%,44.4%,22.2%,0.280,-0.092,0.372,0.502,0.161,0.341,0.0T,0.0T
쿠팡(coupang),19,33.3%,12.5%,20.8%,-0.433,-0.639,0.205,0.012,0.110,-0.098,0.0T,0.0T
황사/미세먼지,26,33.3%,13.0%,20.3%,-0.167,-0.573,0.406,0.487,0.200,0.288,0.0T,0.0T
아프리카 돼지열병(ASF),31,33.3%,14.3%,19.0%,-0.393,-0.671,0.278,-0.103,0.195,-0.298,0.0T,0.0T
인터넷은행,29,33.3%,15.4%,17.9%,-0.280,-0.608,0.328,0.458,0.033,0.425,0.0T,0.0T
로봇(산업용/협동로봇 등),48,66.7%,48.9%,17.8%,-0.013,-0.065,0.052,0.284,0.330,-0.047,0.0T,0.0T
반도체 재료/부품,56,66.7%,49.1%,17.6%,0.307,0.095,0.212,-0.122,0.187,-0.309,0.0T,0.0T
전력저장장치(ESS),35,66.7%,50.0%,16.7%,0.380,-0.022,0.402,0.936,0.501,0.435,0.0T,0.0T
유리 기판,17,66.7%,50.0%,16.7%,0.307,0.083,0.224,0.565,0.040,0.525,0.0T,0.0T
HBM(고대역폭메모리),24,66.7%,52.4%,14.3%,0.367,0.148,0.219,0.507,-0.019,0.526,0.0T,0.0T
SI(시스템통합),27,33.3%,20.8%,12.5%,-0.047,-0.442,0.395,0.184,0.103,0.081,0.0T,0.0T
통신장비,41,33.3%,23.7%,9.6%,-0.147,-0.310,0.163,0.469,0.169,0.300,0.0T,0.0T
국내 상장 중국기업,11,33.3%,25.0%,8.3%,-0.593,-0.435,-0.158,-0.149,-0.030,-0.119,0.0T,0.0T
도시가스,8,66.7%,60.0%,6.7%,-0.020,-0.084,0.064,0.791,0.728,0.063,0.0T,0.0T
보안주(물리),14,33.3%,27.3%,6.1%,-0.413,-0.453,0.039,-0.161,0.269,-0.430,0.0T,0.0T
전기차 화재 방지(배터리 열폭주 등),26,33.3%,30.4%,2.9%,-0.247,-0.330,0.083,0.476,0.411,0.064,0.0T,0.0T
NFT(대체불가토큰),15,0.0%,0.0%,0.0%,-0.907,-0.895,-0.012,0.252,-0.199,0.452,0.0T,0.0T
조선,6,100.0%,100.0%,0.0%,0.540,0.400,0.140,0.878,0.519,0.360,0.0T,0.0T
NI(네트워크통합),6,0.0%,0.0%,0.0%,-0.727,-0.880,0.153,0.110,-0.209,0.320,0.0T,0.0T
렌터카,4,0.0%,0.0%,0.0%,-0.660,-1.000,0.340,0.282,-0.176,0.458,0.0T,0.0T
영화,10,0.0%,0.0%,0.0%,-0.860,-0.986,0.126,-0.149,-0.128,-0.021,0.0T,0.0T
지역화폐,4,0.0%,0.0%,0.0%,-0.650,-0.850,0.200,0.198,-0.375,0.573,0.0T,0.0T
미디어(방송/신문),11,0.0%,0.0%,0.0%,-0.927,-1.000,0.073,0.534,-0.192,0.726,0.0T,0.0T
리츠(REITs),20,33.3%,35.3%,-2.0%,-0.413,-0.201,-0.212,-0.113,0.156,-0.268,0.0T,0.0T
우주항공산업(누리호/인공위성 등),25,33.3%,36.4%,-3.0%,0.113,-0.255,0.368,0.172,0.186,-0.014,0.0T,0.0T
가상화폐(비트코인 등),21,0.0%,5.6%,-5.6%,-0.907,-0.777,-0.130,-0.067,-0.009,-0.058,0.0T,0.0T
의료AI,20,0.0%,5.9%,-5.9%,-0.360,-0.720,0.360,0.136,0.025,0.111,0.0T,0.0T
화장품,80,0.0%,6.5%,-6.5%,-1.000,-0.674,-0.326,-0.173,-0.044,-0.130,0.0T,0.0T
미용기기,14,0.0%,9.1%,-9.1%,-0.653,-0.811,0.158,0.174,0.228,-0.054,0.0T,0.0T
교육/온라인 교육,25,0.0%,9.1%,-9.1%,-1.000,-0.740,-0.260,-0.347,0.219,-0.566,0.0T,0.0T
리모델링/인테리어,23,0.0%,10.0%,-10.0%,-0.327,-0.725,0.398,0.236,0.198,0.039,0.0T,0.0T
초전도체,12,33.3%,44.4%,-11.1%,-0.233,-0.300,0.067,0.420,0.507,-0.086,0.0T,0.0T
비만치료제,30,0.0%,11.1%,-11.1%,-0.460,-0.584,0.124,-0.141,0.052,-0.193,0.0T,0.0T
의료기기,67,0.0%,12.5%,-12.5%,-0.853,-0.603,-0.251,0.167,0.096,0.070,0.0T,0.0T
"백신/진단시약/방역(신종플루, AI 등)",42,0.0%,12.8%,-12.8%,-0.260,-0.701,0.441,-0.007,0.003,-0.010,0.0T,0.0T
면역항암제,33,0.0%,13.3%,-13.3%,-0.800,-0.562,-0.238,-0.317,0.033,-0.350,0.0T,0.0T
코로나19(진단/치료제/백신 개발 등),69,0.0%,13.6%,-13.6%,-0.753,-0.682,-0.071,-0.010,-0.036,0.026,0.0T,0.0T
코로나19(진단키트),37,0.0%,14.7%,-14.7%,-0.987,-0.744,-0.243,0.550,-0.087,0.637,0.0T,0.0T
마이크로바이옴,16,0.0%,15.4%,-15.4%,-0.980,-0.794,-0.186,-0.137,-0.225,0.089,0.0T,0.0T
뉴로모픽 반도체,5,33.3%,50.0%,-16.7%,0.000,0.130,-0.130,-0.027,0.672,-0.699,0.0T,0.0T
유전자 치료제/분석,31,0.0%,17.9%,-17.9%,-0.693,-0.648,-0.045,0.343,-0.059,0.402,0.0T,0.0T
보안주(정보),41,0.0%,21.1%,-21.1%,-0.507,-0.427,-0.079,-0.232,-0.126,-0.106,0.0T,0.0T
UAM(도심항공모빌리티),21,0.0%,22.2%,-22.2%,-0.040,-0.439,0.399,-0.101,0.232,-0.334,0.0T,0.0T
페라이트,15,0.0%,33.3%,-33.3%,-0.187,-0.287,0.100,0.148,0.157,-0.009,0.0T,0.0T
자동차 대표주,6,33.3%,66.7%,-33.3%,0.120,0.260,-0.140,0.799,0.860,-0.061,0.0T,0.0T
